  Date\Src,   24chasa,  Actualno,   BgOnAir,     Blitz,     Bnews,    Classa,     ClubZ,     Cross,      Dnes,   Dnevnik,      Duma, Epicenter,    Faktor,     Focus, Mediapool,   Monitor,      News,  Novinite,   OffNews,       PIK,StandartNews,      Trud
2018-03-01,       111,        55,        42,       114,        59,        37,        41,       100,        57,       108,         0,        84,        43,       472,        43,        62,       108,        47,        72,       187,         0,        71
2018-03-02,       112,       121,        35,       111,        58,        32,        33,        76,       104,       102,        55,        78,        47,       450,        56,        66,       109,        42,        67,       187,        50,        71
2018-03-03,        92,        48,        26,        49,        27,        38,        22,        93,        49,        59,         0,        58,        24,       357,        14,        22,        37,        19,        36,       147,        18,        70
2018-03-04,        84,        56,        17,        41,        28,        32,        36,        79,        51,        56,         0,        48,        20,       233,        19,        29,        45,        25,        43,       135,        21,        34
2018-03-05,        66,        42,        34,       112,        48,        32,        27,        49,        56,        53,         0,        45,        24,       261,        14,        56,        57,         0,        44,       187,        22,        70
2018-03-06,       112,       114,        14,       109,        65,        39,        48,       100,        93,       100,         0,        78,        29,       414,        36,        79,        86,        45,        69,       201,        32,        37
2018-03-07,       112,       125,        33,        95,        60,        32,        47,        97,        95,       114,         0,       104,        36,       404,        57,        85,        99,        30,        69,       199,        38,        71
2018-03-08,       112,        53,        36,        94,        66,        32,        45,        82,       101,       108,         0,        82,        30,       376,        53,        60,       107,        61,        67,       202,        42,        71
2018-03-09,       112,       114,        34,        66,        61,        34,        36,        69,        93,        84,        46,        76,        70,       428,        53,        59,        83,        26,        59,       194,        42,        71
2018-03-10,        74,        40,        19,        51,        30,        32,        25,        59,        52,        57,         0,        66,        30,       229,        21,        18,        45,        18,        40,       143,        47,        69
2018-03-11,        74,        59,        17,        95,        27,        32,        21,        54,        50,        47,         0,        47,        39,       216,        22,        54,        43,        10,        47,       140,        19,        39
2018-03-12,       112,       116,        31,       124,        69,        40,        41,        98,       105,        90,        41,        92,        58,       414,        54,        77,        95,        47,        66,       207,        35,        70
2018-03-13,       112,       110,        30,       125,        59,        32,        46,        77,       112,       101,        43,        84,        72,       373,        57,        73,       106,        53,        80,       184,        43,        70
2018-03-14,       112,       117,        31,        95,        68,        33,        42,        84,       110,       109,        62,        58,        71,       455,        51,        70,       101,        40,        64,       216,        41,        71
2018-03-15,       112,        34,        33,        78,        54,        33,        54,        96,       106,       102,         0,        73,        68,       464,        51,        81,       102,        53,        61,       209,        43,        72
2018-03-16,       112,       109,        34,       120,        63,        32,        46,        73,       107,        83,        53,        85,        63,       383,        51,        72,       108,        26,        68,       175,        45,        72
2018-03-17,        94,        65,        14,        97,        33,        54,        29,        74,        55,        51,         0,        51,        33,       228,        23,        15,        49,        29,        36,       133,        48,        71
2018-03-18,        89,        49,         8,        89,        30,        38,        26,        66,        51,        50,         0,        42,        40,       252,        18,        55,        47,        25,        40,       151,        17,        71
2018-03-19,       112,       115,        33,       142,        69,        45,        42,        71,       106,        89,        38,        69,        67,       411,        50,        80,       105,        36,        57,       189,        35,        68
2018-03-20,       112,       112,        30,       139,        69,        35,        49,       111,       104,        92,         0,        91,        72,       497,        57,        89,       107,        49,        65,       191,        45,        69
2018-03-21,       111,       115,        20,       130,        61,        33,        38,       100,       102,        94,        45,       112,        73,       518,        64,        76,       106,        39,        70,       177,        45,        71
2018-03-22,       112,       113,        33,       110,        66,        31,        39,       110,       116,        96,        54,        76,        65,       552,        71,        95,       117,        48,        82,       186,        45,        69
2018-03-23,       111,        53,        21,        69,        69,        39,        48,        91,        95,        92,        29,        93,        55,       509,        49,        50,        95,        45,        64,       177,        43,        71
2018-03-24,        92,        40,        20,        78,        33,        40,        31,        57,        62,        49,         0,        59,        38,       269,        19,        25,        39,        27,        43,       152,        42,        68
2018-03-25,         0,        55,        20,        98,        30,        32,        28,        58,        60,        44,         0,        48,        37,       233,        19,        58,        43,         6,        43,       129,        24,        68
2018-03-26,         0,       118,        39,        98,        66,        33,        36,        98,       115,        75,        41,        81,        68,       449,        35,        69,       100,        44,        62,       211,        29,        72
2018-03-27,         0,       115,        31,       124,        58,        42,        51,        91,        97,        85,        46,        83,        36,       435,        51,        76,        86,        58,        62,       180,        50,        71
2018-03-28,         0,       104,        30,       137,        64,        35,        54,        75,        98,        93,        31,        78,        48,       447,        58,        78,       111,        39,        60,       192,        38,        35
2018-03-29,         0,       105,        37,       118,        68,        33,        49,        84,        97,       102,        20,        65,        38,       464,        64,        84,       115,        40,        76,       199,        47,        71
2018-03-30,         0,        97,        33,       107,        65,        33,        41,        91,       104,        84,        53,        83,        60,       402,        47,        62,       110,        26,        69,       161,        44,        70
2018-03-31,         0,        46,        22,        76,        30,        52,        30,        61,        53,        59,         0,        49,        32,       265,        21,        30,        52,        18,        35,       129,        45,        67
